Stage 1 of 3 (L): Inserted 18083 entries in 0.446768 seconds.
Stage 2 of 3 (B): Inserted 13503 entries in 35.1348 seconds.
Stage 3 of 3 (H): Inserted 10709 entries in 12.085 seconds.
"Saved Space","Number Of Duplicates","File Size","List of Names"
771745,1,771745,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/parts/r/partition_basic_symlink_myisam.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/parts/r/partition_basic_symlink_myisam.result
768409,1,768409,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/r/ta_add_column_middle.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/r/ta_add_column_middle.result
744917,1,744917,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/parts/r/partition_alter2_2_2_innodb.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/parts/r/partition_alter2_2_2_innodb.result
740247,1,740247,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/parts/r/partition_alter2_2_1_innodb.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/parts/r/partition_alter2_2_1_innodb.result
738916,1,738916,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/parts/r/partition_alter2_1_2_innodb.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/parts/r/partition_alter2_1_2_innodb.result
738301,1,738301,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/r/se_string_limit.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/funcs/r/se_string_limit.result
737945,1,737945,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/parts/r/partition_alter2_1_1_innodb.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/parts/r/partition_alter2_1_1_innodb.result
730800,1,730800,/usr/local/mysql-5.5.28-osx10.6-x86_64/sql-bench/Data/Wisconsin/tenk.data;/usr/local/mysql-5.5.28-osx10.6-x86_64/sql-bench/Data/Wisconsin/tenk.data
699095,1,699095,/usr/local/boost_old/include/boost/phoenix/scope/preprocessed/lambda_50.hpp;/usr/local/boost/include/boost/phoenix/scope/preprocessed/lambda_50.hpp
668182,1,668182,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/funcs_1/t/storedproc.test;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/funcs_1/t/storedproc.test
